"Variable","Method","Horizon","IRF","Lower","Upper"
"Unemployment Rate","Lag-Augmented LP (Smoothed)",17,-0.0428208171034649,-0.193613513549618,0.107971879342688
"Unemployment Rate","Lag-Augmented LP (Smoothed)",18,-0.0628418897242332,-0.213647021991952,0.0879632425434859
"Unemployment Rate","Lag-Augmented LP (Smoothed)",19,-0.0674317929586267,-0.218254925300535,0.083391339383282
"Unemployment Rate","Lag-Augmented LP (Smoothed)",20,-0.0793764782464797,-0.229828585273567,0.0710756287806076
"Unemployment Rate","Lag-Augmented LP (Smoothed)",21,-0.0719904713865461,-0.218027304484611,0.0740463617115183
"Unemployment Rate","Lag-Augmented LP (Smoothed)",22,-0.0749655452082685,-0.219275940537548,0.0693448501210114
"Unemployment Rate","Lag-Augmented LP (Smoothed)",23,-0.0584068134545582,-0.202154004204481,0.0853403772953651
"Unemployment Rate","Lag-Augmented LP (Smoothed)",24,-0.0477490274729537,-0.192135680982811,0.0966376260369037
"Unemployment Rate","Lag-Augmented LP (Smoothed)",25,-0.0480121562874251,-0.192732310932571,0.0967079983577211
"Unemployment Rate","Lag-Augmented LP (Smoothed)",26,-0.061557787355792,-0.208699609851229,0.0855840351396455
"Unemployment Rate","Lag-Augmented LP (Smoothed)",27,-0.0691776196782744,-0.217346901873489,0.0789916625169404
"Unemployment Rate","Lag-Augmented LP (Smoothed)",28,-0.0540853017124795,-0.204238710093863,0.0960681066689036
"Unemployment Rate","Lag-Augmented LP (Smoothed)",29,-0.0285060697269459,-0.178755380999604,0.121743241545713
"Unemployment Rate","Lag-Augmented LP (Smoothed)",30,-0.0154436523799864,-0.166774689119259,0.135887384359286
"Unemployment Rate","Lag-Augmented LP (Smoothed)",31,0.000749692654038712,-0.151428220568933,0.15292760587701
"Unemployment Rate","Lag-Augmented LP (Smoothed)",32,0.022333587303543,-0.131954561625575,0.176621736232661
"Unemployment Rate","Lag-Augmented LP (Smoothed)",33,0.0415683858159735,-0.114930831614651,0.198067603246598
"Unemployment Rate","Lag-Augmented LP (Smoothed)",34,0.0672180954107526,-0.0914392882912719,0.225875479112777
"Unemployment Rate","Lag-Augmented LP (Smoothed)",35,0.083181891282056,-0.0760671525792962,0.242430935143408
"Unemployment Rate","Lag-Augmented LP (Smoothed)",36,0.107449253893366,-0.0521278608609061,0.267026368647638
"Unemployment Rate","Lag-Augmented LP (Smoothed)",37,0.119930552968029,-0.0410187013152915,0.28087980725135
"Unemployment Rate","Lag-Augmented LP (Smoothed)",38,0.129275565568505,-0.0322896414067032,0.290840772543712
"FFR","Lag-Augmented LP (Smoothed)",0,0.0349601829358819,-0.00657778073698018,0.0764981466087441
"FFR","Lag-Augmented LP (Smoothed)",1,0.0963212440228125,-0.00899156959887186,0.201634057644497
"FFR","Lag-Augmented LP (Smoothed)",2,0.106622572473793,-0.0629634943837295,0.276208639331315
"FFR","Lag-Augmented LP (Smoothed)",3,0.0469416311662052,-0.164549810337374,0.258433072669785
"FFR","Lag-Augmented LP (Smoothed)",4,-0.0340999530154589,-0.283762105166085,0.215562199135168
"FFR","Lag-Augmented LP (Smoothed)",5,-0.0811733787765986,-0.376291437345658,0.21394467979246
"FFR","Lag-Augmented LP (Smoothed)",6,-0.115622533087556,-0.441319779558801,0.210074713383689
"FFR","Lag-Augmented LP (Smoothed)",7,-0.146898553174266,-0.490387343287648,0.196590236939117
"FFR","Lag-Augmented LP (Smoothed)",8,-0.14052421341265,-0.50856711081218,0.22751868398688
"FFR","Lag-Augmented LP (Smoothed)",9,-0.0541708182618066,-0.443143757115803,0.33480212059219
"FFR","Lag-Augmented LP (Smoothed)",10,-0.00897236249482249,-0.421360914303951,0.403416189314306
"FFR","Lag-Augmented LP (Smoothed)",11,-0.0150058716181654,-0.445908191142585,0.415896447906254
"FFR","Lag-Augmented LP (Smoothed)",12,-0.0559973497867675,-0.505681584460182,0.393686884886647
"FFR","Lag-Augmented LP (Smoothed)",13,-0.0194299407792763,-0.484131306469822,0.44527142491127
"FFR","Lag-Augmented LP (Smoothed)",14,0.0898300535952402,-0.38102086041209,0.56068096760257
"FFR","Lag-Augmented LP (Smoothed)",15,0.179847495828954,-0.282698481075097,0.642393472733004
"FFR","Lag-Augmented LP (Smoothed)",16,0.236562483923133,-0.222995111909238,0.696120079755504
"FFR","Lag-Augmented LP (Smoothed)",17,0.286794053880895,-0.177645040357722,0.751233148119512
"FFR","Lag-Augmented LP (Smoothed)",18,0.371705027743393,-0.100593041920524,0.844003097407311
"FFR","Lag-Augmented LP (Smoothed)",19,0.406879157737301,-0.0713630026262159,0.885121318100819
"FFR","Lag-Augmented LP (Smoothed)",20,0.391524068860107,-0.0893008649685335,0.872349002688747
